gidx	chrom	start	end	srd	tpm	IQR	gid	n_tss
g111	B01	5328162	5328518	+	13.881271913339525	85	Zm00001d027436	2
g112	B01	5411853	5412392	+	36.11983559986845	149	Zm00001d027439	1
g113	B01	5431227	5431382	+	13.581179949586192	8	Zm00001d027441	1
g114	B01	5435673	5435899	-	68.96633699016988	45	Zm00001d027442	1
g115	B01	5466216	5466363	-	6.837643375193205	6	Zm00001d027443	1
g116	B01	5481126	5481244	+	3.653883725737019	44	Zm00001d027445	1
g117	B01	5491395	5491769	+	51.08640867963726	94	Zm00001d027446	1
g118	B01	5500484	5500679	-	8.700763998497354	83	Zm00001d027447	1
g119	B01	5518573	5518901	+	20.415877510633724	178	Zm00001d027448	1
g120	B01	5524602	5525497	+	8.511116315015581	877	Zm00001d027449	3
g121	B01	5534808	5535248	-	12.941549919872772	232	Zm00001d027450	2
g122	B01	5540419	5540939	-	5.712958124718404	484	Zm00001d027451	2
g123	B01	5602777	5604127	+	32.04408370710188	717	Zm00001d027454	4
g124	B01	5614832	5614949	-	11.960892532541383	2	Zm00001d027455	1
g125	B01	5703995	5704099	-	1.4905174123420484	46	Zm00001d027458	1
g126	B01	5816864	5816886	+	0.393646825464185	17	Zm00001d027461	1
g127	B01	5824879	5824940	-	0.39228117333975415	23	Zm00001d027462	1
g128	B01	5883318	5883765	+	7.657625308311492	117	Zm00001d027463	3
g129	B01	5886978	5886986	+	2.01056555960814	3	Zm00001d027464	1
g130	B01	5906207	5906459	-	8.959170327918525	150	Zm00001d027466	1
g131	B01	5943691	5943893	+	77.0414977382648	29	Zm00001d027468	1
g132	B01	6020742	6020932	+	2.0063407917289844	110	Zm00001d027469	1
g133	B01	6034500	6035780	+	58.58433461595478	712	Zm00001d027471	1
g134	B01	6161416	6161717	-	9.117270315923511	160	Zm00001d027472	2
g135	B01	6238423	6238686	-	8.79023596948499	36	Zm00001d027477	1
g136	B01	6246470	6246683	-	16.80380958830935	59	Zm00001d027478	1
g137	B01	6251146	6251392	-	2.7153071727606286	145	Zm00001d027479	1
g138	B01	6270278	6270334	+	1.3883492313575312	11	Zm00001d027480	1
g139	B01	6294473	6294637	-	3.710899809012191	108	Zm00001d027483	1
g140	B01	6300771	6301517	-	19.320292071779228	94	Zm00001d027484	2
g141	B01	6307587	6307754	+	0.9860723838377545	46	Zm00001d027485	1
g142	B01	6313621	6313957	-	17.24019796294986	9	Zm00001d027486	2
g143	B01	6328694	6328806	-	8.731405950007561	42	Zm00001d027487	1
g144	B01	6407027	6407607	+	38.11821788250059	217	Zm00001d027488	1
g145	B01	6412192	6412235	+	1.1905172422081074	18	zma-MIR528a	1
g146	B01	6543073	6543520	-	33.05867703675287	97	Zm00001d027493	2
g147	B01	6771510	6771571	+	11.355570430859277	9	Zm00001d027499	1
g148	B01	6797863	6797892	+	4.412525781076562	4	Zm00001d027500	1
g149	B01	6825771	6825946	+	9.253290990206605	66	Zm00001d027502	1
g150	B01	6840396	6840629	-	3.871593399078791	60	Zm00001d027503	1
g151	B01	6912104	6912647	-	2.8279490830349094	383	Zm00001d027504	2
g152	B01	6918447	6918540	-	1.5011625214993758	43	Zm00001d027505	1
g153	B01	7028328	7028456	+	4.8555490984248	41	Zm00001d027506	1
g154	B01	7064099	7064191	+	1.1849331370553247	33	Zm00001d027508	1
g155	B01	7079097	7080065	-	4.729443017652143	879	Zm00001d027510	2
g156	B01	7146619	7147135	-	8.721390103040807	131	Zm00001d027511	4
g157	B01	7152514	7152670	-	4.97819117837155	46	Zm00001d027512	1
g158	B01	7183108	7183300	-	5.561091461784653	120	Zm00001d027514	1
g159	B01	7238478	7257475	+	4.13827403197675	18933	Zm00001d027515	2
g160	B01	7292601	7292775	+	3.612267189776748	78	Zm00001d027516	1
g161	B01	7297846	7298019	+	15.153094226316215	17	Zm00001d027517	1
g162	B01	7312576	7312687	-	6.483179064740266	41	Zm00001d027518	1
g163	B01	7339853	7340721	+	30.891643366701942	414	Zm00001d027519	1
g164	B01	7356306	7356479	+	10.719413031132524	107	Zm00001d027520	1
g165	B01	7394423	7395247	+	26.09633516545865	660	Zm00001d027523	2
g166	B01	7401552	7401604	+	23.34504655689847	7	Zm00001d027524	1
g167	B01	7404963	7404991	+	4.932644856177206	9	Zm00001d027525	1
g168	B01	7459276	7459569	-	50.25494904008814	41	Zm00001d027527	1
g169	B01	7492273	7492292	-	1.9085086747347277	5	Zm00001d027530	1
g170	B01	7558625	7558799	+	3.2448854315730165	98	Zm00001d027532	1
g171	B01	7564444	7564574	+	22.99110549752494	33	Zm00001d027533	1
g172	B01	7602448	7602501	-	1.2896457884524817	5	Zm00001d027535	1
g173	B01	7700875	7700997	-	1.4753057115655295	55	Zm00001d027536	1
g174	B01	7716590	7716612	-	1.9203201674166699	5	Zm00001d027537	1
g175	B01	7845460	7845741	-	27.902700084031064	43	Zm00001d027539	1
g176	B01	7879855	7879934	-	14.81511719616335	3	Zm00001d027540	1
g177	B01	7883293	7883362	-	9.005046253852505	3	Zm00001d027541	1
g178	B01	7886715	7886886	-	10.924627870463315	46	Zm00001d027542	1
g179	B01	7976444	7976486	+	1.3610407843678873	5	zma-MIR171e	1
g180	B01	7991101	7991240	-	3.721383093767477	46	Zm00001d027544	1
g181	B01	8019575	8019947	-	3.3937602155316973	331	Zm00001d027546	3
g182	B01	8045935	8046313	+	6.430077955308594	89	Zm00001d027548	2
g183	B01	8055556	8055640	+	1.6558512359198205	61	Zm00001d027550	1
g184	B01	8114683	8114875	+	1.828950909026662	103	Zm00001d027554	1
g185	B01	8118256	8118419	-	3.684351060107567	62	Zm00001d027555	1
g186	B01	8122508	8122719	-	5.337128702997506	70	Zm00001d027556	1
g187	B01	8130063	8130099	-	34.876362833434186	5	Zm00001d027557	1
g188	B01	8163866	8164353	-	54.568717681387305	226	Zm00001d027558	1
g189	B01	8280550	8280836	+	7.5496488332523315	109	Zm00001d027570	2
g190	B01	8290988	8291248	-	15.866002818416991	211	Zm00001d027571	2
g191	B01	8302323	8302836	+	20.94977982324734	327	Zm00001d027572	2
g192	B01	8312368	8312550	-	4.61499371215803	77	Zm00001d027573	1
g193	B01	8333632	8333705	+	1.3684853092954552	54	Zm00001d027576	1
g194	B01	8371975	8372279	+	6.298250898847744	179	Zm00001d027581	1
g195	B01	8485082	8486087	+	7.581018065884997	152	Zm00001d027585	2
g196	B01	8552361	8552600	+	14.464965063630551	125	Zm00001d027588	1
g197	B01	8572220	8572356	+	2.6595530633965443	64	Zm00001d027589	1
g198	B01	8599446	8599571	-	8.713533912451771	10	Zm00001d027593	1
g199	B01	8661939	8662043	+	82.10073419782792	13	Zm00001d027595	1
g200	B01	8670660	8671896	-	16.64952469547106	986	Zm00001d027596	4
g201	B01	8675628	8675889	+	3.1564647668168315	81	Zm00001d027597	1
g202	B01	8701105	8701326	+	10.36308514369029	83	Zm00001d027599	2
g203	B01	8775855	8775883	-	5.677175304669224	5	Zm00001d027601	1
g204	B01	8915508	8915533	+	0.29780643081419833	6	Zm00001d027606	1
g205	B01	8921893	8922087	-	1.1781786402729313	149	Zm00001d027607	2
g206	B01	8981543	8981632	-	0.62344241134751055	62	Zm00001d027610	1
g207	B01	8981819	8981917	+	0.6861813369039694	36	Zm00001d027611	1
g208	B01	9013233	9013424	-	23.511729064033517	66	Zm00001d027612	1
g209	B01	9016664	9017076	-	15.10354733240159	4	Zm00001d027613	3
g210	B01	9112914	9113031	+	6.080069661932016	39	Zm00001d027618	1
g211	B01	9119576	9119771	+	2.5571573038250754	124	Zm00001d027619	2
g212	B01	9228704	9228786	+	1.344389466395974	57	Zm00001d027622	1
g213	B01	9258053	9258071	-	0.801769735198885	12	Zm00001d027623	1
g214	B01	9341525	9341838	+	9.874268049673688	184	Zm00001d027624	1
g215	B01	9353026	9353688	-	134.78279473231132	332	Zm00001d027625	1
g216	B01	9411270	9411383	-	7.033016697343518	59	Zm00001d027626	1
g217	B01	9451086	9451108	+	0.29907784340424043	18	Zm00001d027627	1
g218	B01	9487879	9488079	+	7.124331871925012	40	Zm00001d027630	2
g219	B01	9547617	9548652	+	20.853095669741915	91	Zm00001d027633	2
g220	B01	9637167	9637195	+	4.012240108184412	5	Zm00001d027636	1
g221	B01	9644042	9644137	-	1.0918329079330586	49	Zm00001d027637	1
g222	B01	9986367	9986625	+	61.91642952683014	91	Zm00001d027646	1
g223	B01	10064659	10064845	-	8.643736454544433	54	Zm00001d027648	1
g224	B01	10105706	10105734	+	2.239458290540488	10	Zm00001d027649	1
g225	B01	10152620	10153001	-	127.34202116663486	21	Zm00001d027652	1
g226	B01	10257656	10257809	+	2.4523953395816895	45	Zm00001d027655	2
g227	B01	10260814	10261730	+	14.138706072875877	815	Zm00001d027656	2
g228	B01	10349054	10349346	+	28.851269707152746	58	Zm00001d027659	1
g229	B01	10492162	10492506	+	10.488049605673645	132	Zm00001d027665	1
g230	B01	10576035	10576117	+	5.184419920422192	41	Zm00001d022669	1
g231	B01	10618210	10622705	-	55.897959647414474	4333	Zm00001d027667	4
g232	B01	10625796	10625805	-	5.37238011844978	1	Zm00001d027669	1
g233	B01	10686764	10686922	-	2.378230635072197	102	Zm00001d027671	1
g234	B01	10687097	10687205	+	1.475253872626265	58	Zm00001d027672	1
g235	B01	10761449	10761596	-	2.782088308827854	94	Zm00001d027675	1
g236	B01	10854278	10854503	+	1.549958013470412	144	Zm00001d027676	1
g237	B01	10878137	10878407	-	7.818770250148279	78	Zm00001d027677	1
g238	B01	10986930	10986961	+	1.1238151702214547	30	Zm00001d027678	1
g239	B01	11015678	11015917	-	87.23055619533392	3	Zm00001d027680	1
g240	B01	11068346	11068348	-	0.49554006518338617	0	Zm00001d027682	1
g241	B01	11126663	11126801	+	2.3634627975015174	66	Zm00001d027683	1
g242	B01	11138338	11138483	-	0.7117970189162746	137	Zm00001d027684	2
g243	B01	11145079	11145347	-	4.999052619729141	175	Zm00001d027685	2
g244	B01	11164764	11165157	-	23.63323039537869	33	Zm00001d027688	3
g245	B01	11299388	11299579	+	11.72604507204111	107	Zm00001d027694	1
g246	B01	11304982	11304986	-	0.5425889558332919	4	Zm00001d027695	1
g247	B01	11358823	11358957	+	3.7722365283337345	58	Zm00001d027699	1
g248	B01	11410819	11410998	-	35.9301527962307	4	Zm00001d027700	2
g249	B01	11438427	11438779	-	32.58329164019773	67	Zm00001d027701	1
g250	B01	11494906	11495119	-	19.037699882291736	70	Zm00001d027703	1
g251	B01	11583985	11584138	+	8.674380897342107	12	Zm00001d027706	1
g252	B01	11595588	11595688	-	8.490481477122982	47	Zm00001d027707	1
g253	B01	11666318	11666923	-	9.589410738254728	458	Zm00001d027708	2
g254	B01	11671096	11671250	+	1.6974410760527727	74	Zm00001d027709	1
g255	B01	11715982	11715995	+	0.6596372492727058	7	Zm00001d027710	1
g256	B01	11724816	11725180	-	19.702964127151613	140	Zm00001d027711	1
g257	B01	11881206	11881421	+	14.037085216130116	53	Zm00001d027714	1
g258	B01	11951699	11952463	+	1.1144336596182898	735	Zm00001d027715	2
g259	B01	12042640	12042649	+	1.1123736019150245	3	Zm00001d027717	1
g260	B01	12103711	12103947	+	42.9718638880901	40	Zm00001d027719	1
g261	B01	12140516	12140525	-	0.9892540234163182	2	Zm00001d027720	1
g262	B01	12146495	12146767	-	33.528459990708974	130	Zm00001d027721	1
g263	B01	12170859	12171324	+	9.015346275352407	182	Zm00001d027722	1
g264	B01	12180585	12182515	-	3.338556642216735	1810	Zm00001d027723	2
g265	B01	12288611	12288764	+	3.9928784491387943	69	Zm00001d027726	2
g266	B01	12330386	12331395	+	49.76818001394123	222	Zm00001d027727	1
g267	B01	12335702	12335908	+	7.384098641470869	85	Zm00001d027728	1
g268	B01	12342252	12342389	-	1.808838375003785	89	Zm00001d027729	1
g269	B01	12358649	12359800	-	43.509535405348856	179	Zm00001d027731	3
g270	B01	12369417	12369430	-	2.337801173857608	9	Zm00001d027732	1
g271	B01	12375035	12375269	+	2.9300307727486508	165	Zm00001d027734	1
g272	B01	12401195	12401225	-	2.2790597315857406	3	Zm00001d027739	1
g273	B01	12444329	12444448	+	2.2621488944319235	62	Zm00001d027741	1
g274	B01	12449478	12449887	-	13.170610677639203	177	Zm00001d027742	2
g275	B01	12502712	12502850	+	1.5227102129148011	55	Zm00001d027743	1
g276	B01	12533127	12533152	-	0.5423156495409852	5	Zm00001d027746	1
g277	B01	12542767	12542990	-	3.29924513162571	86	Zm00001d027748	1
g278	B01	12552034	12552114	-	30.366635973042634	3	Zm00001d027749	1
g279	B01	12624896	12625098	-	2.440370526477666	87	Zm00001d027751	1
g280	B01	12632088	12640013	-	5.0479733058788225	7767	Zm00001d027752	2
g281	B01	12675736	12675902	+	5.268720595200205	76	Zm00001d027755	2
g282	B01	12709255	12709474	+	53.54173639782839	10	Zm00001d027756	1
g283	B01	12714062	12714082	+	2.0479188005512223	3	Zm00001d027757	1
g284	B01	12768055	12768218	+	3.886299966484635	74	Zm00001d027758	1
g285	B01	13023506	13023705	+	106.49988664809632	7	Zm00001d027760	1
g286	B01	13052380	13052478	+	13.519804983771753	11	Zm00001d027763	1
g287	B01	13136907	13136968	+	14.137287748357751	4	Zm00001d027766	1
g288	B01	13142443	13142569	+	1.6236277791541607	63	Zm00001d027767	1
g289	B01	13166932	13167135	+	2.1036383672706607	140	Zm00001d027768	2
g290	B01	13177195	13177411	+	12.89423348995184	78	Zm00001d027769	1
g291	B01	13576322	13576469	+	5.723403779502065	77	Zm00001d027790	1
g292	B01	13758917	13759028	+	1.686419992478253	76	Zm00001d027799	1
g293	B01	13815339	13815431	+	0.8946749224719464	34	Zm00001d027801	1
g294	B01	13866512	13867160	-	12.391520482519416	457	Zm00001d027802	3
g295	B01	13911216	13911566	-	15.94974312505442	189	Zm00001d027803	1
g296	B01	13964741	13966263	+	4.291347952179949	1437	Zm00001d027805	3
g297	B01	14030511	14030733	-	8.071860974430477	13	Zm00001d027807	1
g298	B01	14212725	14212730	+	0.8619448285364201	2	ENSRNA049472005	1
g299	B01	14250237	14250268	-	1.0950692670542583	28	Zm00001d027810	1
g300	B01	14311452	14311597	+	16.038468164814592	66	Zm00001d027811	1
g301	B01	14319414	14320004	+	368.70927460075194	7	Zm00001d027812	1
g302	B01	14321651	14321762	+	34.98519640942499	4	Zm00001d027813	1
g303	B01	14361446	14361597	+	6.801065103405296	2	Zm00001d027816	1
g304	B01	14585476	14585667	+	1.5248115512924907	101	Zm00001d027824	1
g305	B01	14611697	14611853	-	7.734979819915657	67	Zm00001d027826	1
g306	B01	14612053	14612330	+	1.9701230577448394	117	Zm00001d027827	1
g307	B01	14653653	14653696	-	0.6699583855516336	10	Zm00001d027832	1
g308	B01	14665693	14666086	+	30.42358529646326	119	Zm00001d027834	1
g309	B01	14707013	14707118	-	0.5137813623032365	67	Zm00001d027838	1
g310	B01	14754111	14754271	+	10.232548132723675	23	Zm00001d027839	1
g311	B01	14831755	14832089	+	41.93475737738909	88	Zm00001d027841	1
g312	B01	14891219	14891352	-	2.815160379210649	72	Zm00001d027842	1
g313	B01	14989212	14989247	+	0.3255755896471032	30	Zm00001d027843	1
g314	B01	15013570	15013692	-	0.6425852329903401	87	Zm00001d027844	1
g315	B01	15013865	15014085	+	7.9220890274598545	69	Zm00001d027845	1
g316	B01	15060253	15060282	+	5.936443915669883	9	Zm00001d027846	1
g317	B01	15072399	15072551	-	8.913881787580701	5	Zm00001d027847	1
g318	B01	15125768	15125897	-	5.3198493354664205	43	Zm00001d027848	1
g319	B01	15162154	15162268	-	11.64178285349713	5	Zm00001d027850	1
g320	B01	15177178	15178073	-	101.87119520082065	216	Zm00001d027851	2
g321	B01	15196041	15196169	-	7.1310217739276185	98	Zm00001d027852	1
g322	B01	15306800	15306929	-	105.11068066607207	4	Zm00001d027854	1
g323	B01	15366795	15366884	-	5.491163482196458	3	Zm00001d027855	1
g324	B01	15400566	15400965	+	9.400127738097806	233	Zm00001d027856	2
g325	B01	15500215	15500286	+	2.963481594795713	6	Zm00001d027859	1
g326	B01	15582621	15582853	+	13.160942268726322	125	Zm00001d027861	1
g327	B01	15763033	15763243	+	13.18216797718788	58	Zm00001d027868	1
g328	B01	15961956	15971196	+	17.95821155531186	2786	Zm00001d027869	2
g329	B01	16010183	16010327	-	7.967629619453611	50	Zm00001d027871	1
g330	B01	16011182	16011266	+	2.620831940201733	31	Zm00001d027872	1
g331	B01	16019204	16019365	-	4.981225096374021	121	Zm00001d027873	1
g332	B01	16041780	16042052	-	5.495531649781956	112	Zm00001d027874	1
g333	B01	16140081	16140237	+	2.6115124252455355	102	Zm00001d027875	2
g334	B01	16227500	16227781	+	18.9923931900835	88	Zm00001d027876	1
g335	B01	16285382	16285812	-	2.1354927821081624	417	Zm00001d027877	2
g336	B01	16415676	16415935	-	12.676172390606617	42	Zm00001d027879	1
g337	B01	16447065	16447162	-	2.694071917936884	43	Zm00001d027880	1
g338	B01	16562549	16562950	-	18.212276363551616	137	Zm00001d027881	2
g339	B01	16630177	16630345	-	0.9344042334184411	53	Zm00001d027882	1
g340	B01	16706302	16706363	+	0.9815814978666214	18	Zm00001d027883	1
g341	B01	16714732	16715079	-	45.62799705038044	182	Zm00001d027884	2
g342	B01	16721194	16721331	+	20.182940411877183	44	Zm00001d027885	1
g343	B01	16730441	16730693	-	5.739618623810604	69	Zm00001d027886	1
g344	B01	16746535	16746884	-	10.408417658197541	56	Zm00001d027887	1
g345	B01	16752086	16752408	-	11.139588983888336	97	Zm00001d027888	1
g346	B01	16810105	16810160	+	4.125575154291558	35	Zm00001d027890	1
g347	B01	16843014	16843042	+	2.3052650451346866	6	Zm00001d027892	1
g348	B01	16948471	16948657	+	3.4025386504054085	94	Zm00001d027893	1
g349	B01	16961610	16961745	-	19.03802798703198	45	Zm00001d027894	1
g350	B01	16968886	16969169	+	16.834326801392944	72	Zm00001d027895	1
g351	B01	16980055	16980259	-	73.70816848744629	31	Zm00001d027896	1
g352	B01	17063321	17063613	-	2.9529403645752392	197	Zm00001d027898	1
g353	B01	17141477	17141948	-	5.011009557925305	148	Zm00001d027899	3
g354	B01	17146736	17147323	+	25.12385966281602	3	Zm00001d027900	3
g355	B01	17156209	17156923	+	175.68798788462564	376	Zm00001d027901	1
g356	B01	17163035	17163101	+	0.6283950188945223	6	Zm00001d027903	1
g357	B01	17186385	17187227	+	304.09967824704046	9	Zm00001d027904	1
g358	B01	17314652	17314953	+	8.881699359951611	52	Zm00001d027907	2
g359	B01	17533715	17533955	+	2.5646686162150223	55	Zm00001d027916	1
g360	B01	17609501	17609612	+	0.80143530385227435	49	Zm00001d027918	1
g361	B01	17697552	17697786	+	4.5880422714211955	179	Zm00001d027921	2
g362	B01	17726035	17726165	-	5.160929081417871	46	Zm00001d027922	1
g363	B01	17777284	17777353	-	0.3407980411005955	47	Zm00001d027924	1
g364	B01	17808555	17808622	-	4.867065793949685	30	Zm00001d027925	1
g365	B01	17834039	17834051	-	1.7789682691027366	2	Zm00001d027928	1
g366	B01	17840301	17840866	-	8.061401316041248	405	Zm00001d027929	1
g367	B01	17930554	17930589	-	1.122541188902953	3	Zm00001d027932	1
g368	B01	17945720	17946184	+	10.097595403059119	57	Zm00001d027934	2
g369	B01	17966009	17973770	+	24.407511011496407	7651	Zm00001d027936	2
g370	B01	17999738	17999773	+	4.374459911344916	13	Zm00001d027938	1
g371	B01	18006661	18006754	-	2.1781181465297803	52	Zm00001d027939	1
g372	B01	18019089	18019374	+	8.578829018316982	127	Zm00001d027941	1
g373	B01	18030361	18030366	-	0.7969448825839448	0	ENSRNA049471996	1
